1_1_2025,Exp 1
Signal,Time
V,s
-2.000179,0.00125
-1.93525,0.00125
-1.794438,0.00126
-1.600619,0.00126
-1.37474,0.00126
-1.133555,0.00126
-0.890597,0.00126
-0.655857,0.00126
-0.43465,0.00126
-0.23181,0.00126
-0.048625,0.00126
0.114421,0.00126
0.259261,0.00127
0.386378,0.00127
0.49674,0.00127
0.594213,0.00127
0.680087,0.00127
0.75726,0.00127
0.826377,0.00127
0.891467,0.00127
0.954139,0.00127
1.015524,0.00127
1.077552,0.00128
1.143125,0.00128
1.210954,0.00128
1.283938,0.00128
1.363045,0.00128
1.446985,0.00128
1.535598,0.00128
1.628077,0.00128
1.720073,0.00128
1.809008,0.00128
1.889243,0.00129
1.953205,0.00129
1.99139,0.00129
1.994612,0.00129
1.948533,0.00129
1.841875,0.00129
1.662716,0.00129
1.400745,0.00129
1.051935,0.00129
0.619669,0.00129
0.118448,0.0013
-0.424822,0.0013
-0.966803,0.0013
-1.484457,0.0013
-1.836166,0.0013
-1.996151,0.0013
-1.9135,0.0013
-1.563725,0.0013
-0.964064,0.0013
-0.182993,0.0013
0.658175,0.00131
1.403323,0.00131
1.887793,0.00131
1.977534,0.00131
1.615832,0.00131
0.853444,0.00131
-0.144004,0.00131
-1.124854,0.00131
-1.811032,0.00131
-1.98729,0.00131
-1.573069,0.00132
-0.670357,0.00132
0.453723,0.00132
1.441991,0.00132
1.963517,0.00132
1.833659,0.00132
1.083191,0.00132
-0.038475,0.00132
